,job,company,ssn,residence,current_location,blood_group,website,username,name,sex,address,mail,birthdate
0,Manufacturing systems engineer,Silva Group,358-34-8897,"4808 Parker Grove Suite 460
South Hailey, IA 92366","(Decimal('-80.159576'), Decimal('30.314223'))",B+,"['https://www.mcgee-vega.info/', 'https://www.wilson-short.com/', 'http://hale.com/']",vfarley,Lisa Ward,F,"01713 King Pike
Cathyshire, AL 73924",campbellsusan@hotmail.com,1959-01-06
1,Interior and spatial designer,Winters-Castro,279-23-4007,"052 Manning Brook
West Candice, CO 86679","(Decimal('-78.2979315'), Decimal('143.655456'))",O-,['https://kelley-woods.biz/'],dale73,Ryan Page,M,"531 James Street Apt. 625
North Malikborough, WI 81923",stephaniegallegos@gmail.com,1961-07-27
2,Learning mentor,Coleman Inc,461-76-5846,"1478 Barbara Cove Suite 283
Deborahmouth, MD 89353","(Decimal('52.664164'), Decimal('-122.576457'))",O+,"['http://www.smith.net/', 'http://www.sanders-ramsey.org/', 'https://www.powell.biz/']",smithjulian,Alexander Lewis,M,"0173 Anna Fall
Donnaborough, PA 91872",riveratamara@yahoo.com,1952-11-19
3,Hydrogeologist,Fox and Sons,092-97-2965,"713 Evelyn Fields Apt. 369
Charlesborough, OK 39807","(Decimal('19.0388455'), Decimal('154.590294'))",AB+,"['http://www.holmes.com/', 'https://www.carroll.net/', 'https://keller-lindsey.com/', 'https://price.com/']",warrenjared,Abigail Gonzalez,F,"86803 Michael Loaf Suite 397
Johnfort, WA 21808",ccarey@gmail.com,2016-07-06
4,Media planner,"Mack, Martinez and Edwards",142-01-6262,"4011 Stephen Coves Suite 616
West Nathan, AZ 86758","(Decimal('50.3600105'), Decimal('112.563246'))",AB-,"['https://lewis.info/', 'https://www.fields.net/', 'http://www.lee-lynch.com/', 'http://martin-singh.com/']",cbates,Joshua Webb,M,"78620 Riley Ridge
Perezton, VA 13129",ewells@gmail.com,2010-05-18
5,Aid worker,Arnold-Tanner,396-25-7476,"2860 Henson Mission
West Ashleyport, OK 21600","(Decimal('-64.667770'), Decimal('111.746316'))",B-,"['https://wilson.com/', 'http://www.ortiz.org/']",caitlin17,Jessica Farley,F,"105 Ford Spring
South Lori, NM 54641",antonioholt@yahoo.com,1933-08-25
6,"Research officer, government",Jones-Williams,849-32-9929,"232 Kim Row
New Stacey, MO 37924","(Decimal('83.3072865'), Decimal('20.427744'))",A+,"['https://www.ford-buchanan.com/', 'https://wilson.net/', 'http://cordova-bryant.com/', 'http://nelson.com/']",matthew44,Mr. Samuel Taylor,M,"89423 Richard Branch
Kristenshire, CA 72481",susan89@gmail.com,1913-03-11
7,Estate manager/land agent,"Hampton, Porter and Sullivan",766-10-2890,"89718 Lindsay Crest Suite 949
Brownfurt, NC 72830","(Decimal('61.401643'), Decimal('27.253292'))",AB+,"['https://wilson.com/', 'http://www.hill.info/', 'http://webster.com/', 'https://www.willis.net/']",trevorrodriguez,Kelly Abbott,F,"246 Acevedo Glen
Port Nicholaston, NM 58700",gshepherd@yahoo.com,1990-06-14
8,"Programme researcher, broadcasting/film/video",Bush-Burke,704-26-2191,"133 Richard Meadow
North Amy, NY 15585","(Decimal('-60.7413275'), Decimal('6.327116'))",A-,"['http://rodgers.com/', 'https://marshall.com/']",wernertroy,Michael Ruiz,M,"0638 Brooks Ville Apt. 041
East Rebecca, DE 35179",marcusparks@hotmail.com,2012-01-13
9,Product/process development scientist,Gentry Inc,501-16-0044,"5176 Victoria Road Apt. 453
West Michaelview, TX 88899","(Decimal('66.9139795'), Decimal('-176.407063'))",A+,['http://www.huynh.org/'],jonathan04,Keith Sparks,M,"0853 Vazquez Avenue Apt. 424
Port Mauricefort, UT 59025",lunakendra@hotmail.com,1938-11-28
